d35	date_d1_HTDMA	k35	d50	date_d50_HTDMA	k_HTDMA_D50	d75	date_d75_HTDMA	k_HTDMA_D75	d110	date_d110_HTDMA	k_HTDMA_D110	d165	date_d165_HTDMA	k_HTDMA_D165	d265	date_d265_HTDMA	k_HTDMA_D265
35	21.05.2015 04:33:00	0.065480496	50	20.05.2015 17:14:01	0.151829046	75	21.05.2015 01:43:12	0.07799882	110	21.05.2015 01:47:40	0.163465654	165	21.05.2015 03:12:00	0.171672384	265	21.05.2015 05:49:10	0.468290776
35	21.05.2015 05:26:46	0.046839024	50	20.05.2015 17:40:55	0.117456112	75	21.05.2015 02:41:32	0.118283163	110	21.05.2015 02:46:03	0.145653231	165	21.05.2015 04:12:00	0.31716666	265	21.05.2015 07:02:21	0.843046473
35	21.05.2015 07:38:16	0.081513565	50	20.05.2015 19:07:15	0.068126589	75	21.05.2015 03:35:24	0.085331713	110	21.05.2015 03:41:55	0.221682553	165	21.05.2015 05:13:00	0.298406359	265	21.05.2015 07:33:48	0.557846859
35	21.05.2015 08:32:05	0.197648712	50	20.05.2015 19:34:09	0.109621738	75	21.05.2015 04:41:58	0.08008184	110	21.05.2015 04:46:26	0.193568314	165	21.05.2015 06:13:00	0.330691931	265	21.05.2015 08:00:42	0.578463617
35	21.05.2015 09:29:17	0.134693903	50	20.05.2015 20:01:03	0.059822097	75	21.05.2015 05:35:43	0.146372906	110	21.05.2015 05:40:11	0.247798939	165	21.05.2015 07:24:00	0.31999828	265	21.05.2015 08:27:35	0.483048902
35	21.05.2015 10:24:49	0.123109337	50	20.05.2015 20:54:54	0.053115317	75	21.05.2015 06:45:11	0.088899427	110	21.05.2015 06:53:23	0.20542335	165	21.05.2015 08:18:00	0.336915237	265	21.05.2015 08:57:54	0.337545423
35	21.05.2015 11:50:05	0.11637949	50	20.05.2015 21:21:46	0.048955533	75	21.05.2015 07:47:14	0.285573345	110	21.05.2015 07:51:43	0.311187779	165	21.05.2015 09:15:00	0.395530718	265	21.05.2015 09:24:48	0.390377109
35	21.05.2015 12:43:58	0.136736908	50	20.05.2015 21:48:38	0.073030605	75	21.05.2015 08:44:24	0.15683859	110	21.05.2015 08:48:53	0.500321501	165	21.05.2015 10:11:00	0.421125659	265	21.05.2015 09:53:26	0.536888889
35	21.05.2015 13:37:47	0.182805432	50	20.05.2015 22:30:15	0.064076946	75	21.05.2015 09:38:16	0.121188607	110	21.05.2015 09:42:45	0.257393111	165	21.05.2015 11:09:00	0.38322458	265	21.05.2015 10:47:16	1.072645451
35	21.05.2015 15:02:59	0.091245724	50	20.05.2015 22:57:08	0.035611192	75	21.05.2015 10:33:47	0.239334366	110	21.05.2015 10:38:19	0.332880145	165	21.05.2015 12:03:00	0.292574217	265	21.05.2015 11:18:44	0.297786894
35	21.05.2015 15:56:46	0.277935717	50	20.05.2015 23:24:04	0.069551658	75	21.05.2015 11:32:09	0.369692594	110	21.05.2015 11:36:37	0.265116304	165	21.05.2015 12:57:00	0.35491916	265	21.05.2015 11:45:36	0.572514524
35	21.05.2015 17:03:36	0.176790093	50	20.05.2015 23:51:05	0.075280402	75	21.05.2015 12:26:05	0.23643023	110	21.05.2015 12:30:34	0.368421185	165	21.05.2015 13:51:00	0.508385902	265	21.05.2015 12:12:33	0.493094297
35	21.05.2015 17:57:24	0.117186639	50	21.05.2015 00:18:00	0.066389979	75	21.05.2015 13:19:51	0.211930033	110	21.05.2015 13:24:21	0.415463312	165	21.05.2015 14:49:00	0.558437515	265	21.05.2015 12:39:30	0.514156029
35	21.05.2015 18:51:08	0.142760267	50	21.05.2015 00:44:55	0.05066229	75	21.05.2015 14:13:40	0.236673496	110	21.05.2015 14:18:08	0.344550442	165	21.05.2015 15:43:00	0.395461719	265	21.05.2015 13:06:26	0.55586313
